T	TCOM
E	ELECTRICAL
FD	FIRE PROTECTION DEMO
L	LIGHTING
TD	TCOM DEMO
M	MECHANICAL
F	FIRE PROTECTION
P	PLUMBING
MD	MECHANICAL DEMO
EA	ELECTRICAL AUXILIARY
ED	ELECTRICAL DEMO
PD	PLUMBING DEMO
E64	PROVIDE A 2HR FYRE CLASSIFIED 4-GANG MULTI-SERVICE STEEL RECESSED FLOOR BOX EQUAL TO WIREMOLD CAT. NO. RFB2S-FC WITH A BRASS FLANGED COVER CAT. NO. FPBTCBS-NA. THE FLOOR BOX SHALL HAVE ALL NECESSARY MOUNTING BRACKETS FOR (3) 20A STANDARD DUPLEX RECEPTACLES, NEMA 5-20R, (1) GANG BLANK. THE BOX SHALL BE INSTALLED PER MANUFACTURERS WRITTEN INSTRUCTIONS SO THAT THE COVER IS FLUSH WITH THE FLOOR.	E
E65	PROVIDE A 2HR FYRE CLASSIFIED 4-GANG MULTI-SERVICE STEEL RECESSED FLOOR BOX EQUAL TO WIREMOLD CAT. NO. RFB2S-FC WITH A BRASS FLANGED COVER CAT. NO. FPBTCBS-NA. THE FLOOR BOX SHALL HAVE ALL NECESSARY MOUNTING BRACKETS FOR (4)  20A STANDARD DUPLEX RECEPTACLES, NEMA 5-20R. THE BOX SHALL BE INSTALLED PER MANUFACTURERS WRITTEN INSTRUCTIONS SO THAT THE COVER IS FLUSH WITH THE FLOOR.	E
E66	PROVIDE A 2HR FYRE CLASSIFIED 6-GANG MULTI-SERVICE STEEL RECESSED FLOOR BOX EQUAL TO WIREMOLD CAT. NO. EFB6S-FC WITH A BRASS FLUSH COVER CAT. NO. EFB610BTBS-NA. THE FLOOR BOX SHALL HAVE ALL NECESSARY MOUNTING BRACKETS FOR (2) 20A DUPLEX RECEPTACLE, (1) GANG - HYGTFT/VOICE (SEE TECHNOLOGY DRAWINGS FOR DEVICE TYPE), (3) GANG - A/V (SEE A/V DRAWINGS FOR DEVICE TYPES). THE BOX SHALL BE INSTALLED PER MANUFACTURERS WRITTEN INSTRUCTIONS SO THAT THE COVER IS FLUSH WITH THE FLOOR.	E
E67	PROVIDE A 2HR FYRE CLASSIFIED 2-GANG MULTI-SERVICE STEEL RECESSED FLOOR BOX EQUAL TO WIREMOLD CAT. NO. RFB2S-FC WITH A BRASS FLANGED COVER CAT. NO. FPBTCBS-NA. THE FLOOR BOX SHALL HAVE ALL NECESSARY MOUNTING BRACKETS FOR (2) 20A DUPLEX RECEPTACLES WITH USB PORTS. THE BOX SHALL BE INSTALLED PER MANUFACTURERS WRITTEN INSTRUCTIONS SO THAT THE COVER IS FLUSH WITH THE FLOOR.	E
E68	PROVIDE FYRE ALARM CONTROL MODULE TO RELEASE POWER TO ELECTRICALLY HELD OPEN FYRE DOOR UPON ACTIVATION OF ASSOCIATED SMOKE DETECTOR.	E
E69	ALL 120V BRANCH CIRCUITS IN THIS ROOM SHALL BE FED FROM PANEL 2LL5.	E
E70	PROVIDE NEMA L5-20R, 20A-120V TWIST LOCK RECEPTACLE FOR RACK MOUNTED PDU. COORDINATE EXACT LOCATION AND MOUNTING HEIGHT WITH TECHNOLOGY CONTRACTOR.	E
E71	PROVIDE NEMA L6-20R, 30A-208V TWIST LOCK RECEPTACLE FOR RACK MOUNTED PDU. COORDINATE EXACT LOCATION AND MOUNTING HEIGHT WITH TECHNOLOGY CONTRACTOR.	E
E72	UPS AND EXTERNAL BYPASS SWITCH FURNISHED BY OWNER AND INSTALLED BY CONTRACTOR. REFER TO TECHNOLOGY DRAWINGS AND ONE-LINE DIAGRAM FOR ADDITIONAL INFORMATION.	E
E73	PROVIDE POWER AND FINAL CONNECTIONS FOR ELECTRIC HAND DRYER.	E
E74	FEED FIXED FURNITURE FROM BELOW AND MAKE ALL FINAL CONNECTIONS TO RECEPTACLES.	E
E75	RECEPTACLES SHALL BE MOUNTED HORIZONTALLY, REFER TO ARCHITECTURAL PLANS AND ELEVATIONS.	E
E76	PROVIDE A 2HR FYRE CLASSIFIED 4-GANG MULTI-SERVICE STEEL RECESSED FLOOR BOX EQUAL TO WIREMOLD CAT. NO. RFB2S-FC WITH A BRASS FLANGED COVER CAT. NO. FPBTCBS-NA. THE FLOOR BOX SHALL HAVE ALL NECESSARY MOUNTING BRACKETS FOR (3)20A STANDARD DUPLEX RECEPTACLES, NEMA 5-20R, (1) GANG - HYGTFT/VOICE (SEE TECHNOLOGY DRAWINGS FOR DEVICE TYPE). THE BOX SHALL BE INSTALLED PER MANUFACTURERS WRITTEN INSTRUCTIONS SO THAT THE COVER IS FLUSH WITH THE FLOOR.	E
E77	PROVIDE POWER TO EVAPORATOR COIL, LIGHTS, CONTROLLS ETC. FOR A COMPLETE INSTALLATION OF WALK-IN COOLER.	E
E78	PROVIDE POWER TO ELECTRONIC TRAP PRIMER FOR A COMPLETE INSTALLATION, REFER TO PLUMBING DRAWINGS FOR EXACT LOCATION.	E
E79	PROVIDE 20A GFCI DUPLEX RECEPTACLE CEILING MOUNTED FOR POWER TO AQUARIUM LIGHTS. COORDINATE EXACT LOCATION WITH ARCHITECTURAL PLANS AND ELEVATIONS.	E
E80	PROVIDE PIPE FREEZE PROTECTION OF COLD AND HOT WATER SUPPLY AND RETURN PIPING. REFER TO SHEET M0103.A, M0104.A, AND SECTION THROUGH EAB ATTIC ON SHEET M0303 FOR LENGTH OF PIPES, AND SPECIFICATION SECTION 268500 FOR ADDITIONAL INFORMATION.	E
E81	PROVIDE 20A, 3-PHASE, 4-WIRE FEEDER TO DUPLEX PUMP CONTROLLER. CONNECT SP1 AND SP2 SUMP PUMPS TO DUPLEX CONTROLLER.	E
E82	CONNECT WATER ALARM PANEL TO THE SAME CIRCUIT SERVING SUMP PUMP.	E
E83	CONNECT WATER ALARM PANEL TO SAME RECEPTACLE SERVING SUMP PUMP.	E
E84	PROVIDE (2) NEMA L5-20R TWIST-LOCK RECEPTACLES FOR VIDEO WALL. COORDINATE MOUNTING HEIGHT AND EXACT LOCATION WITH ARCHITECTURAL ELEVATIONS AND A/V DRAWINGS.	E
E85	STIL ANOTHER NOTE	E
T01	AA	T
T02		T
T03		T
T04	SSS	T
T05		T
T06		T
T07	777	T
T08		T
T09	222	T
T10		T
